"genet_ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","comparison","site"
"E2B_15_4","Pocillopora","4  6  ",34.44,"Pocillopora","25  ",43.6,"grew",0.265969802555169,"2016_2018","E2B"
"E2B_15_6","Pocillopora","7  ",51.09,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_15_7","Pocillopora","8  ",5,"Pocillopora","4  ",79.31,"grew",14.862,"2016_2018","E2B"
"E2B_15_9","Pocillopora","10  ",9.24,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_15_10","Pocillopora","11  ",25.48,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_15_11","Pocillopora","12  ",37.42,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_15_12","Pocillopora","13  ",26.03,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_15_13","Pocillopora","14  ",32.18,"Pocillopora","11  ",20.59,"shrunk",-0.360161591050342,"2016_2018","E2B"
"E2B_15_14","Pocillopora","15  ",215.17,"Pocillopora","30  31  ",400.25,"grew",0.860157085095506,"2016_2018","E2B"
"E2B_15_15","Pocillopora","16  ",13.63,"Pocillopora","17  ",57.31,"grew",3.20469552457814,"2016_2018","E2B"
"E2B_15_16","Pocillopora","17  ",49.7,"Pocillopora","2  ",116.16,"grew",1.33722334004024,"2016_2018","E2B"
"E2B_15_17","Pocillopora","18  ",70.13,"Pocillopora","32  ",205.24,"grew",1.92656495080565,"2016_2018","E2B"
"E2B_15_18","Pocillopora","19  ",114.5,"Pocillopora","5  ",225,"grew",0.965065502183406,"2016_2018","E2B"
"E2B_15_19","Pocillopora","22  33  ",207.96,"Pocillopora","35  ",329.11,"grew",0.582563954606655,"2016_2018","E2B"
